date,day_of_week,hour,service_location,number_of_counters,queue_length,average_service_time,students_arriving,exam_period,holiday,waiting_time
2026-04-13,Monday,11,Student Service Center,3,84,7.063233020424546,79,0,0,199.57944466583297
2026-06-01,Monday,10,Student Service Center,2,2,2.283831568974037,6,0,1,1.7177695126503387
2026-01-22,Thursday,16,Cafeteria,3,73,4.192489889519251,64,0,0,105.29866166944589
2026-02-20,Friday,14,Fee Counter,1,48,1.4553611508969566,25,0,0,74.44841954108058
2026-03-01,Sunday,9,Admin Office,1,65,5.269976604478346,64,0,0,346.21403858498184
2026-02-04,Wednesday,8,Fee Counter,2,10,4.826971955402957,10,0,0,22.613695421219003
2026-05-26,Tuesday,17,Fee Counter,2,51,1.6194475143634364,52,0,1,39.86377451562079
2026-02-09,Monday,12,Student Service Center,2,90,2.9319942741578036,64,0,0,131.30993038273382
2026-02-14,Saturday,8,Cafeteria,1,72,2.391896828621636,67,0,0,174.907307282747
2026-06-12,Friday,8,Library Counter,5,48,6.950270044528595,32,1,0,67.31819782058014
2026-02-02,Monday,14,Student Service Center,3,54,3.680488123276529,39,0,0,71.02248298209034
2026-05-11,Monday,8,Student Service Center,2,34,5.974640227800512,31,0,0,99.45601043910335
2026-05-04,Monday,10,Cafeteria,4,28,3.8726804612494083,27,0,0,30.153172337090247
2026-02-05,Thursday,14,Library Counter,3,67,5.433826295572964,49,0,1,125.3271386559646
2026-01-28,Wednesday,11,Library Counter,2,61,2.9049257456924473,66,0,0,90.78175620795055
2026-05-01,Friday,11,Student Service Center,1,34,4.393809799512883,31,0,0,151.92902144656017
2026-06-21,Sunday,15,Library Counter,1,60,2.7281324398702083,62,0,0,166.2583805749308
2026-05-11,Monday,8,Student Service Center,1,17,3.877259093227619,6,1,0,63.17781044807391
2026-05-09,Saturday,10,Admin Office,5,27,5.70494883184115,36,0,1,33.89968061457195
2026-05-03,Sunday,8,Student Service Center,4,30,2.0550228077580064,20,1,0,16.478261272110796
2026-04-03,Friday,10,Fee Counter,4,80,2.585470426385566,71,0,0,53.870790850986914
2026-02-21,Saturday,16,Cafeteria,2,79,2.463501345163996,61,1,0,98.63988692459837
2026-02-11,Wednesday,10,Fee Counter,2,16,1.6517193746412944,6,1,0,17.39148106075697
2026-02-06,Friday,14,Cafeteria,1,25,7.209604969855821,7,0,0,183.47912861325653
2026-06-01,Monday,11,Library Counter,1,36,2.98744682316226,29,0,0,106.9909965165965
2026-02-23,Monday,10,Student Service Center,1,17,2.2517589645493015,18,0,0,38.21165267400101
2026-05-16,Saturday,14,Library Counter,1,80,5.454328327301267,63,0,0,435.3499607329461
2026-06-07,Sunday,13,Student Service Center,3,68,5.515723534213954,25,1,0,127.37445925282108
2026-03-02,Monday,10,Fee Counter,3,54,4.2896115979366005,48,0,0,76.44949149723287
2026-01-06,Tuesday,10,Fee Counter,1,64,5.006047284195868,50,1,0,325.2296788582639
2026-04-26,Sunday,12,Cafeteria,3,82,7.510117843675823,58,0,0,202.83988344060216
2026-04-24,Friday,13,Admin Office,3,60,5.917388587909765,37,0,0,118.22370096795333
2026-06-19,Friday,14,Admin Office,3,88,1.0362940394179074,64,0,0,32.421113809181044
2026-01-20,Tuesday,8,Fee Counter,3,71,5.704182947066395,70,0,0,134.62421775370254
2026-03-04,Wednesday,13,Admin Office,2,103,3.52133448987884,74,0,0,179.36521032997533
2026-01-08,Thursday,12,Fee Counter,4,52,2.3606602379641113,10,1,0,30.979414333986874
2026-04-09,Thursday,14,Fee Counter,5,53,3.791746310113562,23,1,0,40.66067678784969
2026-02-27,Friday,14,Admin Office,5,39,3.8626706108998894,13,0,0,28.515185325585904
2026-01-01,Thursday,9,Cafeteria,5,67,4.049710290745237,68,0,1,57.10643242848072
2026-03-17,Tuesday,17,Library Counter,5,82,1.285101616232791,73,0,0,24.91935117830583
2026-05-24,Sunday,17,Admin Office,5,31,5.310950686365516,27,0,0,35.00864346240735
2026-02-03,Tuesday,11,Admin Office,2,95,2.140540989570008,73,1,0,99.2402469837788
2026-01-02,Friday,8,Fee Counter,3,60,1.8995024726373713,39,1,0,41.47968286663544
2026-06-20,Saturday,12,Fee Counter,3,88,2.917727891247936,47,1,0,84.30339776760646
2026-02-15,Sunday,9,Student Service Center,3,19,6.914127176786182,12,0,0,40.97564760553242
2026-06-11,Thursday,10,Cafeteria,4,86,1.2743042867295238,79,0,0,27.74111041840939
2026-06-13,Saturday,17,Student Service Center,1,36,2.7501151445127325,40,0,0,100.64849730120966
2026-05-31,Sunday,12,Fee Counter,1,49,4.740292314713944,34,0,0,233.24681294644787
2026-03-27,Friday,10,Cafeteria,4,4,7.697606195885195,13,0,1,10.111765431279622
2026-02-21,Saturday,10,Admin Office,5,61,2.4890952651696026,56,0,0,34.93651857812267
2026-05-24,Sunday,16,Student Service Center,5,6,7.213929279308099,9,0,0,8.464035235586348
2026-05-26,Tuesday,16,Admin Office,2,19,5.90678392021384,11,0,0,53.69655129294503
2026-06-27,Saturday,17,Admin Office,5,19,3.5944950294682365,12,0,0,17.16147765003932
2026-03-12,Thursday,16,Student Service Center,4,30,3.6459131308557815,23,0,0,29.98502339579164
2026-03-31,Tuesday,10,Library Counter,5,60,1.8317254138765033,62,0,0,19.92091494073488
2026-04-15,Wednesday,14,Cafeteria,3,83,2.999984603973025,67,0,1,86.94836706876937
2026-06-15,Monday,12,Admin Office,4,85,1.3038054830872094,51,1,0,32.10301315739197
2026-06-13,Saturday,10,Library Counter,4,61,3.061457627876009,53,0,0,51.653879825344106
2026-02-23,Monday,13,Library Counter,1,47,3.761652590256909,20,1,1,174.6517202695618
2026-04-27,Monday,15,Admin Office,4,60,2.8615654747496726,64,0,0,42.80624288288723
2026-06-04,Thursday,13,Cafeteria,1,60,7.376490291456897,33,0,0,446.16971543079916
2026-03-23,Monday,10,Student Service Center,1,0,3.8787858160975834,9,0,1,3.2208182698818044
2026-05-26,Tuesday,8,Library Counter,5,68,4.983570284160233,63,0,0,65.2846505012992
2026-04-15,Wednesday,10,Cafeteria,5,82,6.2493752462898025,73,0,0,106.7950800572139
2026-01-23,Friday,12,Student Service Center,5,105,2.760097076582589,77,0,0,57.15989298444165
2026-01-04,Sunday,8,Cafeteria,2,34,4.642153906326553,30,0,0,82.09516354143652
2026-05-03,Sunday,9,Fee Counter,1,56,1.938106599154485,61,0,0,105.76423096315787
2026-03-26,Thursday,9,Library Counter,3,53,5.129423807982431,42,1,0,90.75777296848747
2026-04-01,Wednesday,10,Admin Office,4,35,4.665215932105078,34,0,0,43.40177437786714
2026-01-29,Thursday,11,Admin Office,1,69,5.345639790954639,73,0,0,368.6284528416734
2026-05-06,Wednesday,10,Cafeteria,3,10,3.8816285005026967,8,0,0,16.93330250717766
2026-06-04,Thursday,9,Student Service Center,2,53,1.222632770396156,46,0,0,33.7894908891574
2026-05-13,Wednesday,16,Fee Counter,2,69,1.2751849788876926,49,1,0,47.38916496289774
2026-05-01,Friday,13,Library Counter,5,27,5.180946575788014,12,0,0,32.86716747618979
2026-02-16,Monday,15,Admin Office,4,38,2.034173643343587,30,0,0,17.389585040463903
2026-01-03,Saturday,14,Library Counter,4,42,6.161836442656734,19,0,0,63.15755367570336
2026-02-08,Sunday,16,Cafeteria,2,15,4.317789590013893,17,0,0,32.22425635133864
2026-04-19,Sunday,9,Fee Counter,2,49,3.3621278371034267,46,0,0,86.56931118619404
2026-03-05,Thursday,9,Library Counter,3,51,1.7124773083428262,37,1,0,27.334987355302697
2026-04-22,Wednesday,11,Library Counter,1,43,7.8766503183602445,44,0,0,336.5922749068349
2026-03-07,Saturday,11,Fee Counter,3,78,7.505631923893101,55,1,0,196.60053316533202
2026-05-16,Saturday,17,Library Counter,5,69,2.396548491368238,72,0,0,35.96234665046959
2026-05-20,Wednesday,8,Admin Office,5,0,3.584613370569273,7,0,1,1.0
2026-01-05,Monday,14,Admin Office,4,98,5.7705190555675046,69,0,0,144.45953974052134
2026-05-23,Saturday,15,Library Counter,1,77,7.530566469699682,54,1,0,584.7810539785347
2026-06-11,Thursday,10,Library Counter,1,75,1.9784066363840265,68,0,0,151.74263622368113
2026-01-14,Wednesday,10,Student Service Center,5,53,3.5118133888645175,30,1,0,41.24282624846875
2026-03-30,Monday,9,Library Counter,5,14,2.6254888660277214,19,0,0,11.547965411074166
2026-02-22,Sunday,15,Library Counter,3,57,5.856023251823369,55,0,0,109.59828786459107
2026-04-21,Tuesday,8,Fee Counter,3,32,2.001895898839287,31,0,0,19.989912999641437
